Epoch:0  Iteration:0  Cross Validation Error:2.301877
Iteration:510  Error:0.091037
Iteration:511  Error:0.031515
Iteration:512  Error:0.127492
Iteration:513  Error:0.071261
Iteration:514  Error:0.118485
Iteration:515  Error:0.221838
Iteration:516  Error:0.195257
Iteration:517  Error:0.286602
Iteration:518  Error:0.077916
Iteration:519  Error:0.140048
Iteration:520  Error:0.297703
Iteration:521  Error:0.171195
Iteration:522  Error:0.119136
Iteration:523  Error:0.140660
Iteration:524  Error:0.308013
Iteration:525  Error:0.059348
Iteration:526  Error:0.181885
Iteration:527  Error:0.107320
Iteration:528  Error:0.217116
Iteration:529  Error:0.213076
Iteration:530  Error:0.179506
Iteration:531  Error:0.086388
Iteration:532  Error:0.086064
Iteration:533  Error:0.058254
Iteration:534  Error:0.105362
Iteration:535  Error:0.101256
Iteration:536  Error:0.127786
Iteration:537  Error:0.134954
Iteration:538  Error:0.079858
Iteration:539  Error:0.222529
Iteration:540  Error:0.237816
Iteration:541  Error:0.221493
Iteration:542  Error:0.171308
Iteration:543  Error:0.174340
Iteration:544  Error:0.139660
Iteration:545  Error:0.140205
Iteration:546  Error:0.167745
Iteration:547  Error:0.135705
Iteration:548  Error:0.113674
Iteration:549  Error:0.149528
Iteration:550  Error:0.183174
Iteration:551  Error:0.051557
Iteration:552  Error:0.245723
Iteration:553  Error:0.134373
Iteration:554  Error:0.124627
Iteration:555  Error:0.111751
Iteration:556  Error:0.246469
Iteration:557  Error:0.288883
Iteration:558  Error:0.354734
Iteration:559  Error:0.058294
Iteration:560  Error:0.054790
Iteration:561  Error:0.224763
Iteration:562  Error:0.025002
Iteration:563  Error:0.277992
Iteration:564  Error:0.141597
Iteration:565  Error:0.126949
Iteration:566  Error:0.222850
Iteration:567  Error:0.258088
Iteration:568  Error:0.249801
Iteration:569  Error:0.171600
Iteration:570  Error:0.292731
Iteration:571  Error:0.075256
Iteration:572  Error:0.131761
Iteration:573  Error:0.091345
Iteration:574  Error:0.100978
Iteration:575  Error:0.197200
Iteration:576  Error:0.179184
Iteration:577  Error:0.064339
Iteration:578  Error:0.183085
Iteration:579  Error:0.032217
Iteration:580  Error:0.178802
Iteration:581  Error:0.094968
Iteration:582  Error:0.199828
Iteration:583  Error:0.127487
Iteration:584  Error:0.205665
Iteration:585  Error:0.252909
Iteration:586  Error:0.148254
Iteration:587  Error:0.152070
Iteration:588  Error:0.232006
Iteration:589  Error:0.025628
Iteration:590  Error:0.117094
Iteration:591  Error:0.128897
Iteration:592  Error:0.212019
Iteration:593  Error:0.115274
Iteration:594  Error:0.182244
Iteration:595  Error:0.179897
Iteration:596  Error:0.064810
Iteration:597  Error:0.101330
Iteration:598  Error:0.103392
Iteration:599  Error:0.116233
Iteration:600  Error:0.149493
Iteration:601  Error:0.132494
Iteration:602  Error:0.096668
Iteration:603  Error:0.040822
Iteration:604  Error:0.176040
Iteration:605  Error:0.296329
Iteration:606  Error:0.060121
Iteration:607  Error:0.136933
Iteration:608  Error:0.162914
Iteration:609  Error:0.060016
Iteration:610  Error:0.267820
Iteration:611  Error:0.275737
Iteration:612  Error:0.112937
Iteration:613  Error:0.148299
Iteration:614  Error:0.046270
Iteration:615  Error:0.109394
Iteration:616  Error:0.270078
Iteration:617  Error:0.239953
Iteration:618  Error:0.142041
Iteration:619  Error:0.122590
Iteration:620  Error:0.234474
Iteration:621  Error:0.270594
Iteration:622  Error:0.090013
Iteration:623  Error:0.171904
Iteration:624  Error:0.037161
Iteration:625  Error:0.207993
Iteration:626  Error:0.207318
Iteration:627  Error:0.083881
Iteration:628  Error:0.350810
Iteration:629  Error:0.212591
Iteration:630  Error:0.058593
Iteration:631  Error:0.276921
Iteration:632  Error:0.236780
Iteration:633  Error:0.206902
Iteration:634  Error:0.110285
Iteration:635  Error:0.112300
Iteration:636  Error:0.156495
Iteration:637  Error:0.183355
Iteration:638  Error:0.054132
Iteration:639  Error:0.073418
Iteration:640  Error:0.169595
Iteration:641  Error:0.234614
Iteration:642  Error:0.098669
Iteration:643  Error:0.183267
Iteration:644  Error:0.294589
Iteration:645  Error:0.069963
Iteration:646  Error:0.157186
Iteration:647  Error:0.035864
Iteration:648  Error:0.082821
Iteration:649  Error:0.148262
Iteration:650  Error:0.075157
Iteration:651  Error:0.255943
Iteration:652  Error:0.141188
Iteration:653  Error:0.082207
Iteration:654  Error:0.129504
Iteration:655  Error:0.096365
